Date,AAPL,AMZN,ATO,AVGO,BLDR,BRK-B,DECK,GOOGL,IAU,JPM,LLY,MA,META,MSFT,MTUM,NVDA,PTC,SHV,SPY,TLT,TRGP,TSLA,UNH,USO,V,XOM
2020-04-01,58.814815521240234,95.38500213623047,86.03488159179688,200.08885192871094,11.479999542236328,175.9499969482422,123.75,55.10499954223633,30.34000015258789,74.77056121826172,129.3629150390625,223.5379180908203,159.60000610351562,146.9792938232422,96.80632019042969,60.567176818847656,56.29999923706055,103.98844909667969,232.4981689453125,153.7517547607422,5.463266849517822,32.104000091552734,224.92735290527344,35.040000915527344,149.141845703125,30.889326095581055
2020-04-02,59.79623794555664,95.94149780273438,88.51666259765625,212.10504150390625,11.539999961853027,179.72999572753906,126.69000244140625,55.85150146484375,30.84000015258789,77.5624771118164,134.82496643066406,233.58001708984375,158.19000244140625,150.0230712890625,98.35459899902344,63.65695571899414,54.880001068115234,103.98844909667969,237.86318969726562,154.72752380371094,5.862112998962402,30.29800033569336,227.88441467285156,40.880001068115234,153.31089782714844,33.25150680541992
2020-04-03,58.936885833740234,95.32949829101562,85.5985336303711,209.5998077392578,10.90999984741211,178.33999633789062,122.11000061035156,54.6349983215332,31.059999465942383,75.26990509033203,132.4353485107422,231.77108764648438,154.17999267578125,148.6413116455078,96.60559844970703,60.77648162841797,55.0,103.95095825195312,234.42501831054688,155.09564208984375,5.871389389038086,32.000667572021484,217.50625610351562,47.20000076293945,147.91445922851562,32.272064208984375
2020-04-06,64.0783920288086,99.87950134277344,94.20745086669922,225.8660430908203,12.8100004196167,185.24000549316406,138.36000061035156,59.15950012207031,31.8799991607666,80.11475372314453,134.28443908691406,260.0397033691406,165.5500030517578,159.69544982910156,103.51557159423828,66.8787841796875,59.59000015258789,103.96034240722656,250.1705322265625,154.6905975341797,6.687631607055664,34.41600036621094,235.3719024658203,43.84000015258789,165.04859924316406,33.30911636352539
2020-04-07,63.336212158203125,100.58000183105469,89.4711685180664,226.6086883544922,13.59000015258789,185.25,141.1699981689453,59.12799835205078,31.760000228881836,81.17150115966797,134.5404815673828,253.33189392089844,168.8300018310547,157.97547912597656,102.72230529785156,64.54402160644531,59.310001373291016,104.00720977783203,250.42556762695312,153.0706329345703,7.290538311004639,36.36333465576172,235.0875701904297,40.720001220703125,164.2206268310547,33.94287109375
2020-04-08,64.957275390625,102.1500015258789,93.31658935546875,233.6144256591797,13.579999923706055,191.00999450683594,145.0800018310547,60.349998474121094,31.3799991607666,84.44917297363281,138.65597534179688,265.3481750488281,174.27999877929688,159.5601806640625,105.62773132324219,66.51750183105469,62.45000076293945,103.95095825195312,258.8320007324219,151.95687866210938,7.4111199378967285,36.589332580566406,253.8441162109375,42.959999084472656,170.40606689453125,36.09104919433594
2020-04-09,65.42601776123047,102.13800048828125,95.63471984863281,227.5302276611328,15.039999961853027,193.83999633789062,148.8800048828125,60.32849884033203,32.18000030517578,92.02540588378906,138.19131469726562,263.8302001953125,175.19000244140625,159.56982421875,106.46879577636719,65.52079772949219,63.939998626708984,103.96971130371094,262.7706298828125,152.23304748535156,7.986200332641602,38.20000076293945,250.33741760253906,39.84000015258789,169.1884765625,35.49844741821289
2020-04-13,66.71017456054688,108.44349670410156,93.88018798828125,232.55865478515625,13.829999923706055,188.77000427246094,143.35000610351562,60.52050018310547,32.7599983215332,87.93280792236328,136.94908142089844,257.8955078125,174.7899932861328,159.9273223876953,106.90841674804688,67.2400894165039,62.349998474121094,103.96034240722656,260.3714904785156,150.8431396484375,7.9305500984191895,43.39666748046875,249.74972534179688,39.439998626708984,164.6102752685547,35.193912506103516
2020-04-14,70.07925415039062,114.16600036621094,98.28012084960938,239.4569854736328,14.140000343322754,192.94000244140625,145.49000549316406,63.26150131225586,33.08000183105469,85.5238265991211,143.29299926757812,265.12298583984375,178.1699981689453,167.84109497070312,111.07542419433594,70.75347900390625,64.5,103.97911834716797,268.0506896972656,150.80633544921875,8.051132202148438,47.32600021362305,256.3747253417969,37.279998779296875,170.0943603515625,34.92230987548828
2020-04-15,69.43960571289062,115.38400268554688,96.68014526367188,230.33969116210938,13.25,188.57000732421875,138.92999267578125,62.8650016784668,32.97999954223633,81.30583953857422,143.3594207763672,251.82373046875,176.97000122070312,166.08251953125,109.65137481689453,69.97853088378906,64.47000122070312,103.96971130371094,262.35504150390625,154.80113220214844,7.4111199378967285,48.65533447265625,266.9709167480469,35.439998626708984,161.65879821777344,33.317344665527344
2020-04-16,69.99134063720703,120.40950012207031,95.53472137451172,231.10025024414062,12.949999809265137,187.9600067138672,139.25999450683594,62.871498107910156,32.81999969482422,78.207275390625,146.72572326660156,241.65830993652344,176.25,171.06845092773438,111.41949462890625,73.43212890625,65.69999694824219,103.97911834716797,263.6207275390625,156.55917358398438,7.123579502105713,49.680667877197266,282.84625244140625,34.880001068115234,158.21054077148438,32.22267532348633
2020-04-17,69.04167175292969,118.75,100.63463592529297,237.8912353515625,14.619999885559082,191.1999969482422,145.64999389648438,63.95000076293945,32.15999984741211,85.23725128173828,149.15328979492188,254.5952606201172,179.24000549316406,172.57582092285156,113.24494934082031,72.83907318115234,66.66000366210938,103.97911834716797,270.7425537109375,154.4604949951172,7.355466365814209,50.259334564208984,275.3871765136719,33.68000030517578,165.14601135253906,35.57251739501953
